file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,45,css,88b8e625,JayManjrekar0827,2026-04-04,21:58:26,-07:00,2026-04-04T21:58:26-07:00,1,4
style.css,46,css,88b8e625,JayManjrekar0827,2026-04-04,21:58:26,-07:00,2026-04-04T21:58:26-07:00,2,20
style.css,47,css,88b8e625,JayManjrekar0827,2026-04-04,21:58:26,-07:00,2026-04-04T21:58:26-07:00,1,0
style.css,48,css,88b8e625,JayManjrekar0827,2026-04-04,21:58:26,-07:00,2026-04-04T21:58:26-07:00,0,0
style.css,49,css,88b8e625,JayManjrekar0827,2026-04-04,21:58:26,-07:00,2026-04-04T21:58:26-07:00,1,0
style.css,50,css,88b8e625,JayManjrekar0827,2026-04-04,21:58:26,-07:00,2026-04-04T21:58:26-07:00,1,8
style.css,51,css,88b8e625,JayManjrekar0827,2026-04-04,21:58:26,-07:00,2026-04-04T21:58:26-07:00,1,8
style.css,52,css,88b8e625,JayManjrekar0827,2026-04-04,21:58:26,-07:00,2026-04-04T21:58:26-07:00,2,37
style.css,53,css,88b8e625,JayManjrekar0827,2026-04-04,21:58:26,-07:00,2026-04-04T21:58:26-07:00,2,36
style.css,54,css,88b8e625,JayManjrekar0827,2026-04-04,21:58:26,-07:00,2026-04-04T21:58:26-07:00,1,0
style.css,55,css,145b8316,JayManjrekar0827,2026-04-11,21:13:32,-07:00,2026-04-11T21:13:32-07:00,0,0
style.css,56,css,145b8316,JayManjrekar0827,2026-04-11,21:13:32,-07:00,2026-04-11T21:13:32-07:00,1,27
style.css,57,css,145b8316,JayManjrekar0827,2026-04-11,21:13:32,-07:00,2026-04-11T21:13:32-07:00,2,14
style.css,58,css,145b8316,JayManjrekar0827,2026-04-11,21:13:32,-07:00,2026-04-11T21:13:32-07:00,1,0
style.css,59,css,88b8e625,JayManjrekar0827,2026-04-04,21:58:26,-07:00,2026-04-04T21:58:26-07:00,0,0
style.css,60,css,88b8e625,JayManjrekar0827,2026-04-04,21:58:26,-07:00,2026-04-04T21:58:26-07:00,0,0
style.css,61,css,71cd646,JayManjrekar0827,2026-04-04,17:27:50,-07:00,2026-04-04T17:27:50-07:00,0,4
style.css,62,css,051c13e7,JayManjrekar0827,2026-04-17,22:50:50,-07:00,2026-04-17T22:50:50-07:00,1,17
style.css,63,css,88b8e625,JayManjrekar0827,2026-04-04,21:58:26,-07:00,2026-04-04T21:58:26-07:00,1,8
style.css,64,css,88b8e625,JayManjrekar0827,2026-04-04,21:58:26,-07:00,2026-04-04T21:58:26-07:00,1,16
style.css,65,css,c490993d,JayManjrekar0827,2026-04-11,20:44:00,-07:00,2026-04-11T20:44:00-07:00,1,15
style.css,66,css,c490993d,JayManjrekar0827,2026-04-11,20:44:00,-07:00,2026-04-11T20:44:00-07:00,1,18
style.css,67,css,c490993d,JayManjrekar0827,2026-04-11,20:44:00,-07:00,2026-04-11T20:44:00-07:00,1,18
style.css,68,css,88b8e625,JayManjrekar0827,2026-04-04,21:58:26,-07:00,2026-04-04T21:58:26-07:00,1,24
style.css,69,css,88b8e625,JayManjrekar0827,2026-04-04,21:58:26,-07:00,2026-04-04T21:58:26-07:00,1,17
style.css,70,css,88b8e625,JayManjrekar0827,2026-04-04,21:58:26,-07:00,2026-04-04T21:58:26-07:00,1,28
